plant,stem_length_m,internode_id,internode_len_m
0036,1.5064,5,0.1674
0036,1.5064,6,0.1125
0036,1.5064,7,0.1786
0037,1.8056,1,0.1089
0037,1.8056,2,0.1883
0037,1.8056,3,0.0839
0037,1.8056,4,0.1913
0037,1.8056,5,0.1974
0037,1.8056,6,0.3221
0037,1.8056,7,0.046
0038,2.2421,1,0.0661
0038,2.2421,2,0.0962
0038,2.2421,3,0.1803
0038,2.2421,4,0.0993
0038,2.2421,5,0.1324
0038,2.2421,6,0.1731
0038,2.2421,7,0.5412
0038,2.2421,8,0.2359
0039,1.9262,1,0.1066
0039,1.9262,2,0.0992
0039,1.9262,3,0.1016
0039,1.9262,4,0.1148
0039,1.9262,5,0.2045
0039,1.9262,6,0.0991
0039,1.9262,7,0.1886
0039,1.9262,8,0.2844
0039,1.9262,9,0.2352
0040,1.6694,1,0.0972
0040,1.6694,2,0.1004
0040,1.6694,3,0.1386
0040,1.6694,4,0.1159
0040,1.6694,5,0.1533
0040,1.6694,6,0.1565
0040,1.6694,7,0.1419
0040,1.6694,8,0.0856
0040,1.6694,9,0.1375
0040,1.6694,10,0.0849
0041,1.7883,1,0.0732
0041,1.7883,2,0.1383
0041,1.7883,3,0.0809
0041,1.7883,4,0.135
0041,1.7883,5,0.0982
0041,1.7883,6,0.1423
0041,1.7883,7,0.1399
0041,1.7883,8,0.0912
0041,1.7883,9,0.1969
0041,1.7883,10,0.0881
0041,1.7883,11,0.0884
0041,1.7883,12,0.1486
0042,1.3729,1,0.1016
0042,1.3729,2,0.1163
0042,1.3729,3,0.136
0042,1.3729,4,0.1963
0042,1.3729,5,0.0809
0042,1.3729,6,0.0915
0042,1.3729,7,0.1679
0042,1.3729,8,0.1592
0043,1.3952,1,0.1016
0043,1.3952,2,0.1451
0043,1.3952,3,0.0323
0043,1.3952,4,0.1496
0043,1.3952,5,0.0972
0043,1.3952,6,0.1907
0043,1.3952,7,0.0728
0043,1.3952,8,0.1521
0043,1.3952,9,0.0885
0044,1.4921,1,0.1152
0044,1.4921,2,0.1374
0044,1.4921,3,0.1223
0044,1.4921,4,0.1838
0044,1.4921,5,0.1547
0044,1.4921,6,0.1362
0044,1.4921,7,0.3096
0045,1.8297,1,0.1163
0045,1.8297,2,0.1493
0045,1.8297,3,0.1462
0045,1.8297,4,0.1653
0045,1.8297,5,0.1524
0045,1.8297,6,0.1332
0045,1.8297,7,0.256
0045,1.8297,8,0.1207
0046,1.9069,1,0.0986
0046,1.9069,2,0.1009
0046,1.9069,3,0.1321
0046,1.9069,4,0.1835
0046,1.9069,5,0.1613
0046,1.9069,6,0.1466
0046,1.9069,7,0.2757
0046,1.9069,8,0.1694
0047,1.9112,1,0.1507
0047,1.9112,2,0.1232
0047,1.9112,3,0.1935
0047,1.9112,4,0.1571
0047,1.9112,5,0.1574
0047,1.9112,6,0.1182
0047,1.9112,7,0.136
0047,1.9112,8,0.1067
0047,1.9112,9,0.2488
0047,1.9112,10,0.0
0048,1.9494,1,0.1018
0048,1.9494,2,0.1609
0048,1.9494,3,0.1234
0048,1.9494,4,0.1538
0048,1.9494,5,0.2085
0048,1.9494,6,0.1334
0048,1.9494,7,0.1869
0048,1.9494,8,0.087
0048,1.9494,9,0.1905
0049,1.2863,1,0.11
0049,1.2863,2,0.0852
0049,1.2863,3,0.1924
0049,1.2863,4,0.1212
0049,1.2863,5,0.1184
0049,1.2863,6,0.0949
0049,1.2863,7,0.1275
0050,1.6523,1,0.1047
0050,1.6523,2,0.127
0050,1.6523,3,0.089
0050,1.6523,4,0.1534
0050,1.6523,5,0.1057
0050,1.6523,6,0.1328
0050,1.6523,7,0.1624
0050,1.6523,8,0.1071
0050,1.6523,9,0.1266
0050,1.6523,10,0.1204
0050,1.6523,11,0.0714
0051,2.5547,1,0.1178
0051,2.5547,2,0.1063
0051,2.5547,3,0.1551
0051,2.5547,4,0.2232
0051,2.5547,5,0.1311
0051,2.5547,6,0.3282
0051,2.5547,7,0.2412
0051,2.5547,8,0.2854
0051,2.5547,9,0.1721
0051,2.5547,10,0.2887
0051,2.5547,11,0.099
0052,2.194,1,0.1779
0052,2.194,2,0.1697
0052,2.194,3,0.1477
0052,2.194,4,0.2893
0052,2.194,5,0.1829
0052,2.194,6,0.1112
0052,2.194,7,0.2199
0052,2.194,8,0.2975
0053,2.1738,1,0.3605
0053,2.1738,2,0.1453
0053,2.1738,3,0.2913
0053,2.1738,4,0.1646
0053,2.1738,5,0.1298
0054,1.845,1,0.0647
0054,1.845,2,0.0852
0054,1.845,3,0.1022
0054,1.845,4,0.1172
0054,1.845,5,0.144
0054,1.845,6,0.111
0054,1.845,7,0.0838
0054,1.845,8,0.091
0054,1.845,9,0.2154
0054,1.845,10,0.0803
0054,1.845,11,0.1712
0055,1.6099,1,0.1003
0055,1.6099,2,0.0606
0055,1.6099,3,0.0813
0055,1.6099,4,0.1268
0055,1.6099,5,0.1231
0055,1.6099,6,0.1319
0055,1.6099,7,0.0943
0055,1.6099,8,0.1848
0055,1.6099,9,0.1059
0056,1.5808,1,0.0853
0056,1.5808,2,0.151
0056,1.5808,3,0.1551
0056,1.5808,4,0.1079
0056,1.5808,5,0.135
0056,1.5808,6,0.1555
0056,1.5808,7,0.1133
0056,1.5808,8,0.1126
0056,1.5808,9,0.1027
0057,1.6664,1,0.1084
0057,1.6664,2,0.1236
0057,1.6664,3,0.1475
0057,1.6664,4,0.1631
0057,1.6664,5,0.1535
0057,1.6664,6,0.1579
0057,1.6664,7,0.1194
0057,1.6664,8,0.1176
0057,1.6664,9,0.0738
0057,1.6664,10,0.2044
0058,1.6161,1,0.0922
0058,1.6161,2,0.0904
0058,1.6161,3,0.1129
0058,1.6161,4,0.0867
0058,1.6161,5,0.1524
0058,1.6161,6,0.1289
0058,1.6161,7,0.0811
0058,1.6161,8,0.124
0058,1.6161,9,0.105
0058,1.6161,10,0.1279
0058,1.6161,11,0.0956
0059,1.9311,1,0.0545
0059,1.9311,2,0.4845
0059,1.9311,3,0.2763
0059,1.9311,4,0.1884
0059,1.9311,5,0.2653
